title		rating	imdb_rating	metacritic		production		imdb_votes			release_date	runtime	genre			Budget	Box Office Gross
Valentine's Day		PG-13	5.7	34		New Line Cinema/Warner Bros. Pictures		"99,555"			12-Feb-10	125 min	"Comedy, Romance"			52000000	110485654
Priest		PG-13	5.7	41		Screen Gems/SONY PICTURES		"100,547"			13-May-11	87 min	"Action, Fantasy, Horror"			60000000	29136626
Maximum Ride		PG-13	3.8	N/A		Studio 71		"2,467"			30-Aug-16	88 min	"Action, Adventure, Comedy"			0	0
Dracula Untold		PG-13	6.3	40		Universal Pictures		"148,801"			10-Oct-14	92 min	"Action, Drama, Fantasy"			70000000	56280355
Godzilla		PG-13	6.4	62		Warner Bros Pictures		"318,843"			16-May-14	123 min	"Action, Adventure, Sci-Fi"			160000000	200676069
Hotel Transylvania		PG	7.1	47		Sony Pictures		"176,997"			28-Sep-12	91 min	"Animation, Comedy, Family"			85000000	148313048
Bhopal: A Prayer for Rain		N/A	7.3	50		Revolver Entertainment		"1,625"			7-Nov-14	96 min	"Drama, History"			6000000	5948
The Town		R	7.6	74		Warner Bros. Pictures		"294,943"			17-Sep-10	125 min	"Crime, Drama, Thriller"			37000000	92186262
Hoodwinked Too! Hood vs. Evil		PG	4.8	20		The Weinstein Co.		"10,121"			29-Apr-11	86 min	"Animation, Action, Comedy"			30000000	10143779
Fireworks Wednesday		N/A	7.9	84		Grasshopper Film		"6,108"			16-Mar-16	102 min	"Drama, Mystery, Romance"			0	0
The Avengers		PG-13	8.1	69		Walt Disney Pictures		"1,046,622"			4-May-12	143 min	"Action, Sci-Fi"			220000000	623357910
Epic		PG	6.7	52		Twentieth Century Fox		"89,570"			24-May-13	102 min	"Animation, Adventure, Family"			100000000	107518682
Evangelion: 3.0 You Can (Not) Redo		TV-14	7	N/A		Eleven Arts		"6,561"			17-Nov-12	96 min	"Animation, Action, Drama"			174945	0
Mr. Peabody & Sherman		PG	6.9	59		20th Century Fox		"51,490"			7-Mar-14	92 min	"Animation, Adventure, Comedy"			145000000	111506430
Childless		R	6	N/A		Monterey Media		34			3-Apr-15	90 min	Drama			1000000	0
My Soul to Take		R	4.8	25		Universal Pictures		"17,048"			8-Oct-10	107 min	"Horror, Mystery, Thriller"			25000000	14637490
Eat Pray Love		PG-13	5.7	50		Sony Pictures		"68,140"			13-Aug-10	133 min	"Drama, Romance"			60000000	80574010
Sanctum		R	5.9	42		Universal Pictures		"48,515"			4-Feb-11	108 min	"Adventure, Drama, Thriller"			30000000	23070045
Snitch		PG-13	6.5	51		Lionsgate/Summit Entertainment		"68,319"			22-Feb-13	112 min	"Action, Drama, Thriller"			15000000	42930462
Legends of Oz: Dorothy's Return		PG	5.6	25		Clarius Entertainment		"5,269"			9-May-14	88 min	"Animation, Adventure, Family"			70000000	8462027
The Wedding Ringer		R	6.7	35		Sony Screen Gems		"58,890"			16-Jan-15	101 min	Comedy			23000000	64460211
The Switch		PG-13	6.1	52		Miramax		"81,939"			20-Aug-10	101 min	"Comedy, Drama, Romance"			19000000	27758465
How to Train Your Dragon		PG	8.1	74		Paramount/DWA		"525,227"			26-Mar-10	98 min	"Animation, Action, Adventure"			165000000	217581231
Shrek Forever After		PG	6.3	58		Paramount		"147,267"			21-May-10	93 min	"Animation, Adventure, Comedy"			165000000	238371987
The Hobbit: An Unexpected Journey		PG-13	7.9	58		Warner Bros.		"669,541"			14-Dec-12	169 min	"Adventure, Fantasy"			180000000	303003568
Love & Mercy		PG-13	7.4	80		Roadside Attractions		"27,462"			19-Jun-15	121 min	"Biography, Drama, Music"			10000000	12547189
The Thing		R	6.2	49		Universal Pictures		"100,534"			14-Oct-11	103 min	"Horror, Mystery, Sci-Fi"			38000000	16928670
A Merry Friggin' Christmas		PG-13	5.1	28		Phase 4 Films		"4,557"			22-Nov-14	88 min	Comedy			5000000	0
Harry Potter and the Deathly Hallows: Part 1		PG-13	7.7	65		Warner Bros. Pictures		"358,750"			19-Nov-10	146 min	"Adventure, Family, Fantasy"			0	"GBP150,000,000"
The Last Airbender		PG	4.2	20		Paramount Pictures		"125,584"			1-Jul-10	103 min	"Action, Adventure, Family"			150000000	131564731
Silent Hill: Revelation 3D		R	5	16		Open Road Films		"52,098"			26-Oct-12	95 min	"Adventure, Drama, Horror"			20000000	17529157
Salt		PG-13	6.4	65		Sony Pictures		"255,914"			23-Jul-10	100 min	"Action, Crime, Mystery"			110000000	118311368
Source Code		PG-13	7.5	74		Summit Entertainment		"405,694"			1-Apr-11	93 min	"Mystery, Romance, Sci-Fi"			32000000	54712227
Black Swan		R	8	79		Fox Searchlight		"583,669"			17-Dec-10	108 min	"Drama, Thriller"			13000000	106954678
Green Zone		R	6.8	63		Universal Pictures		"114,965"			12-Mar-10	115 min	"Action, Drama, Thriller"			100000000	35053660
The Amazing Spider-Man		PG-13	7	66		Sony Pictures		"474,291"			3-Jul-12	136 min	"Action, Adventure"			230000000	262030663
Robin Hood		PG-13	6.7	53		Universal		"221,762"			14-May-10	140 min	"Action, Adventure, Drama"			200000000	105269730
Reach Me		PG-13	4.9	21		Millennium Entertainment		"1,961"			21-Nov-14	95 min	Drama			5000000	0
The Fighter		R	7.8	79		Paramount Pictures		"290,732"			17-Dec-10	116 min	"Action, Biography, Drama"			25000000	93617009
Little Fockers		PG-13	5.5	27		Universal Pictures		"90,128"			22-Dec-10	98 min	"Comedy, Romance"			100000000	148383780
Justice League		N/A	N/A	N/A		Warner Bros. Pictures		N/A			17-Nov-17	N/A	"Action, Adventure, Fantasy"			0	0
Sucker Punch		PG-13	6.1	33		IMAX		"205,554"			25-Mar-11	110 min	"Action, Fantasy"			82000000	36392502
Lottery Ticket		PG-13	4.9	50		Warner Bros. Pictures		"8,373"			20-Aug-10	99 min	Comedy			24708699	0
The Chronicles of Narnia: The Voyage of the Dawn Treader		PG	6.3	53		20th Century Fox		"113,978"			10-Dec-10	113 min	"Adventure, Family, Fantasy"			155000000	104386950
The Adventures of Tintin		PG	7.4	68		Paramount		"185,185"			21-Dec-11	107 min	"Animation, Action, Adventure"			135000000	77591831
Machete		R	6.6	60		20th Century Fox		"171,371"			3-Sep-10	105 min	"Action, Crime, Thriller"			10500000	26593646
The Green Hornet		PG-13	5.8	39		Sony Pictures		"140,640"			14-Jan-11	119 min	"Action, Comedy, Crime"			120000000	98780042
Hanna		PG-13	6.8	65		Focus Features		"164,369"			8-Apr-11	111 min	"Action, Drama, Thriller"			30000000	40259119
The Wolf of Wall Street		R	8.2	75		Paramount Studios		"867,432"			25-Dec-13	180 min	"Biography, Comedy, Crime"			100000000	116900694
Megamind		PG	7.3	63		Paramount Studios/DWA		"184,119"			5-Nov-10	95 min	"Animation, Action, Comedy"			130000000	148415853
The Young Messiah		PG-13	5.5	33		Focus Features		"2,329"			11-Mar-16	111 min	Drama			18500000	6462576
The Iron Lady		PG-13	6.4	54		The Weinstein Co.		"87,532"			13-Jan-12	105 min	"Biography, Drama"			13000000	30017992
Dylan Dog: Dead of Night		PG-13	5.1	31		Freestyle Releasing		"13,425"			29-Apr-11	107 min	"Action, Comedy, Crime"			20000000	1183354
Alice in Wonderland		PG	6.5	53		Walt Disney Pictures		"325,093"			5-Mar-10	108 min	"Adventure, Family, Fantasy"			200000000	334191110
Child 44		R	6.5	41		Summit Entertainment		"47,756"			17-Apr-15	137 min	"Crime, Drama, Thriller"			50000000	1206135
The Sisterhood of Night		PG-13	6.3	60		Cine Mosaic		"1,559"			18-Oct-14	104 min	"Drama, Mystery, Thriller"			1000000	0
Our Brand Is Crisis		R	6.1	53		Warner Bros. Pictures		"15,345"			30-Oct-15	107 min	"Comedy, Drama"			28000000	6998324
Selma		PG-13	7.5	89		Paramount Pictures		"67,690"			9-Jan-15	128 min	"Biography, Drama, History"			20000000	52076908
The Way Back		PG-13	7.3	66		Newmarket Films LLC		"92,704"			21-Jan-11	133 min	"Adventure, Drama, History"			2701859	0
Argo		R	7.7	86		Warner Bros. Pictures		"482,276"			12-Oct-12	120 min	"Biography, Drama, History"			44500000	136025503
Wall Street: Money Never Sleeps		PG-13	6.2	59		20th Century Fox		"87,181"			24-Sep-10	133 min	Drama			70000000	52474616
Secretariat		PG	7.2	61		Walt Disney Pictures		"21,953"			8-Oct-10	123 min	"Biography, Drama, Family"			35000000	59713955
Poltergeist		PG-13	5	47		20th Century Fox		"45,941"			22-May-15	93 min	"Horror, Thriller"			35000000	47425125
The Warrior's Way		R	6.3	45		Rogue		"22,982"			3-Dec-10	100 min	"Action, Fantasy, Western"			45000000	5664251
The Descendants		R	7.3	84		Fox Searchlight Pictures		"211,639"			9-Dec-11	115 min	"Comedy, Drama"			20000000	82584160
The Mighty Macs		G	6.5	49		Freestyle Releasing		"1,143"			21-Oct-11	99 min	"Drama, Sport"			7000000	1864952
The Book of Eli		R	6.9	53		Warner Bros. Pictures		"242,277"			15-Jan-10	118 min	"Action, Adventure, Drama"			80000000	94835059
Legion		R	5.2	32		Screen Gems		"84,142"			22-Jan-10	100 min	"Action, Fantasy, Horror"			26000000	40168080
The Bounty Hunter		PG-13	5.5	22		Sony Pictures		"102,266"			19-Mar-10	110 min	"Action, Comedy, Romance"			40000000	67061228
The Legend of Hercules		PG-13	4.2	22		Lionsgate Films		"47,046"			10-Jan-14	99 min	"Action, Adventure, Fantasy"			70000000	18848538
Parental Guidance		PG	6.1	36		20th Century Fox		"21,978"			25-Dec-12	105 min	"Comedy, Family"			25000000	77267296
Goosebumps		PG	6.3	60		Sony Pictures		"57,683"			16-Oct-15	103 min	"Adventure, Comedy, Family"			58000000	80080379
Repo Men		R	6.3	32		Universal Studios		"90,534"			19-Mar-10	111 min	"Action, Crime, Sci-Fi"			32000000	13794835
The Big Year		PG	6.2	53		20th Century Fox		"36,506"			14-Oct-11	100 min	Comedy			41000000	7204138
Life as We Know It		PG-13	6.6	39		Warner Bros. Pictures		"101,279"			8-Oct-10	114 min	"Comedy, Drama, Romance"			38000000	53374681
Boyhood		R	7.9	100		IFC Films		"286,879"			15-Aug-14	165 min	Drama			4000000	25379975
Water for Elephants		PG-13	6.9	52		20th Century Fox		"98,699"			22-Apr-11	120 min	"Drama, Romance"			38000000	58709717
Adult World		R	6.2	61		IFC Films		"14,312"			14-Feb-14	97 min	"Comedy, Drama"			16740	0
Monte Carlo		PG	5.8	43		20th Century Fox		"34,952"			1-Jul-11	109 min	"Adventure, Comedy, Family"			20000000	23186769
Footloose		PG-13	5.9	58		Paramount Studios		"39,380"			14-Oct-11	113 min	"Comedy, Drama, Music"			24000000	51802742
Winchester Mystery House		N/A	N/A	N/A		N/A		N/A			N/A	N/A	Thriller			0	0
Skyfall		PG-13	7.8	81		MGM		"547,821"			9-Nov-12	143 min	"Action, Adventure, Thriller"			200000000	304360277
Jonah Hex		PG-13	4.7	33		Warner Bros. Pictures		"47,903"			18-Jun-10	81 min	"Action, Drama, Fantasy"			47000000	10539414
Dark Shadows		PG-13	6.2	55		Warner Bros. Pictures		"210,282"			11-May-12	113 min	"Comedy, Fantasy, Horror"			150000000	79727149
Eddie the Eagle		PG-13	7.4	54		20th Century Fox		"57,149"			26-Feb-16	106 min	"Biography, Comedy, Drama"			23000000	15785632
The Prince		R	4.6	19		Lionsgate		"14,163"			22-Aug-14	93 min	"Action, Thriller"			18000000	0
Blended		PG-13	6.5	31		Warner Bros. Pictures		"93,793"			23-May-14	117 min	"Comedy, Romance"			40000000	46294610
Lone Survivor		R	7.5	60		Universal Studios		"220,069"			10-Jan-14	121 min	"Action, Biography, Drama"			40000000	125095601
Paul		R	7	57		Universal Pictures		"201,672"			18-Mar-11	104 min	"Adventure, Comedy, Sci-Fi"			40000000	37412945
The Darkest Hour		PG-13	4.9	16		Summit Entertainment		"51,069"			25-Dec-11	89 min	"Action, Adventure, Horror"			30000000	21426805
Evolution of a Criminal		N/A	6.9	76		The Film Collaborative		234			8-Mar-14	81 min	Documentary			0	0
Foxcatcher		R	7	81		Sony Pictures Classics		"114,721"			16-Jan-15	134 min	"Biography, Drama, Sport"			24000000	12096300
Killers		PG-13	5.4	21		Lionsgate Films		"76,006"			4-Jun-10	100 min	"Action, Comedy, Romance"			75000000	47059963
TRON: Legacy		PG	6.8	49		Walt Disney Pictures		"274,675"			17-Dec-10	125 min	"Action, Adventure, Sci-Fi"			170000000	172062763
Growing Up Smith		PG-13	7.7	N/A		Good Deed Entertainment		164			3-Feb-17	102 min	"Comedy, Drama, Family"			2000000	14867
Unrelated		NOT RATED	6.5	N/A		Kino Lorber		"1,058"			19-Sep-08	100 min	Drama			0	0
Paddington		PG	7.2	77		The Weinstein Company		"55,116"			16-Jan-15	95 min	"Comedy, Family, Fantasy"			55000000	76223578
Jackass 3D		R	7.1	56		Paramount Pictures/MTV Films		"49,517"			15-Oct-10	94 min	"Documentary, Action, Comedy"			20000000	117224271
Seventh Son		PG-13	5.5	30		Universal		"60,323"			6-Feb-15	102 min	"Action, Adventure, Fantasy"			95000000	17223265
The Ides of March		R	7.1	67		Sony Pictures		"196,319"			7-Oct-11	101 min	Drama			12500000	40962534
Free State of Jones		R	6.9	53		STX Entertainment		"30,156"			24-Jun-16	139 min	"Action, Biography, Drama"			50000000	20758378
